SampleID;Index;OlinkID;UniProt;Assay;MissingFreq;Panel;Panel_Lot_Nr;PlateID;QC_Warning;LOD;NPX;Normalization;Assay_Warning;Sample_Type;ExploreVersion
CONTROL_SAMPLE_P1_B12;24;OID31440;A6NM11;LRRC37A2;0;Oncology_II;B13804;P1;PASS;-5.3578;-2.6186;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21498;P21589;NT5E;0;Oncology;B04404;P1;PASS;-8.5225;-1.1373;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31260;P10398;ARAF;0.0341;Oncology_II;B13804;P1;PASS;-5.864;-4.6591;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21401;Q9ULX7;CA14;0;Oncology;B04404;P1;PASS;-7.5509;-0.998;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30466;Q9NWV8;BABAM1;0.3977;Inflammation_II;B13803;P1;PASS;-3.0586;-3.667;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30797;Q96PV0;SYNGAP1;0.2841;Neurology_II;B13806;P1;PASS;-3.803;-4.106;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30286;P02458;COL2A1;0;Cardiometabolic_II;B13805;P1;PASS;-4.619;-0.7421;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31080;O77932;DXO;0.1477;Neurology_II;B13806;P1;PASS;-5.1039;-4.7505;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30799;Q13509;TUBB3;0.6477;Neurology_II;B13806;P1;PASS;-0.0373;-0.6637;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21207;P07332;FES;1;Oncology;B04404;P1;PASS;-0.6431;-1.6445;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30249;Q13137;CALCOCO2;0;Cardiometabolic_II;B13805;P1;PASS;-3.8545;-2.6928;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20500;P09874;PARP1;0;Inflammation;B04403;P1;PASS;-2.8081;-1.2404;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21400;P13521;SCG2;0;Oncology;B04404;P1;PASS;-7.042;-0.134;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31228;Q9ULR5;PAIP2B;0.6591;Oncology_II;B13804;P1;PASS;-4.9327;-4.5714;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30432;Q13190;STX5;0.4205;Inflammation_II;B13803;P1;PASS;-3.7266;-4.0613;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21174;Q7LG56;RRM2B;0;Oncology;B04404;P1;PASS;-5.8045;-4.9047;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20781;O00182;LGALS9;0;Inflammation;B04403;P1;PASS;-10.2594;-0.9816;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31104;Q5F1R6;DNAJC21;0.9091;Neurology_II;B13806;P1;PASS;-4.9494;-5.5563;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21024;O43927;CXCL13;0;Neurology;B04406;P1;PASS;-7.0295;-2.7373;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20670;Q9HBG7;LY9;0;Inflammation;B04403;P1;PASS;-7.5472;-0.0311;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20476;P13693;TPT1;0.2614;Inflammation;B04403;P1;PASS;-5.5197;-5.7362;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20143;O60664;PLIN3;0;Cardiometabolic;B04405;P1;PASS;-4.2775;-1.405;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21004;P13500;CCL2;0;Neurology;B04406;P1;PASS;-9.7162;-0.9401;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20745;Q92583;CCL17;0;Inflammation;B04403;P1;PASS;-8.1228;-2.0092;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30896;Q16520;BATF;0;Neurology_II;B13806;P1;PASS;-3.8573;-3.0397;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30147;Q6P4F2;FDX2;0.625;Cardiometabolic_II;B13805;P1;PASS;-4.9866;-5.4726;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20101;P05231;IL6;0;Cardiometabolic;B04405;P1;PASS;-6.8458;-2.8676;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30291;P33681;CD80;0;Cardiometabolic_II;B13805;P1;PASS;-6.9579;-3.447;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21360;Q9NZT2;OGFR;0;Oncology;B04404;P1;PASS;-5.3507;-0.5;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20705;P21860;ERBB3;0;Inflammation;B04403;P1;PASS;-6.1586;0.7424;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21320;Q96EK5;KIFBP;0.0341;Oncology;B04404;P1;PASS;-5.1633;-5.2308;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31305;Q2M296;MTHFSD;0.0227;Oncology_II;B13804;P1;PASS;-6.0613;-5.4272;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30663;Q86SX6;GLRX5;0;Inflammation_II;B13803;P1;PASS;-5.7859;-5.5415;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20169;P18827;SDC1;0;Cardiometabolic;B04405;P1;PASS;-5.4564;-2.2654;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20890;Q92917;GPKOW;0.1705;Neurology;B04406;P1;PASS;-2.8973;-3.187;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21066;O94907;DKK1;0;Neurology;B04406;P1;PASS;-9.6975;-2.4662;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30657;P32321;DCTD;0;Inflammation_II;B13803;P1;PASS;-3.3052;-1.8969;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31489;Q8IXQ3;C9orf40;0;Oncology_II;B13804;P1;PASS;-6.6941;-4.8439;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30269;O94979;SEC31A;0;Cardiometabolic_II;B13805;P1;PASS;-5.1741;-3.5453;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20116;Q9BWV1;BOC;0;Cardiometabolic;B04405;P1;PASS;-5.0755;-0.0876;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30358;P62072;TIMM10;0.3182;Cardiometabolic_II;B13805;P1;PASS;-5.4509;-5.574;Plate control;WARN;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20812;Q6ZMC9;SIGLEC15;0.5682;Neurology;B04406;P1;PASS;-2.3173;-2.6161;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21121;Q99972;MYOC;0;Neurology;B04406;P1;PASS;-8.446;-2.6923;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20085;Q12912;IRAG2;0;Cardiometabolic;B04405;P1;PASS;-5.5269;-3.8144;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21470;Q16543;CDC37;0.0568;Oncology;B04404;P1;PASS;-6.3299;-4.2041;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20123;P09525;ANXA4;0;Cardiometabolic;B04405;P1;PASS;-3.483;-1.2402;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20655;Q99616;CCL13;0;Inflammation;B04403;P1;WARN;-13.1056;-2.8797;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31129;P51460;INSL3;0;Neurology_II;B13806;P1;PASS;-3.7049;-1.5448;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30497;P09923;ALPI;0;Inflammation_II;B13803;P1;PASS;-4.9972;-2.046;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31516;Q9HC56;PCDH9;0;Oncology_II;B13804;P1;PASS;-8.6829;-4.6948;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20549;Q9BT73;PSMG3;0;Inflammation;B04403;P1;PASS;-4.8191;-3.6972;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30647;Q15276;RABEP1;0;Inflammation_II;B13803;P1;PASS;-4.81;-2.9192;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30773;P03951;F11;0;Inflammation_II;B13803;P1;PASS;-4.5278;-1.7707;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21450;Q6UWN8;SPINK6;0;Oncology;B04404;P1;PASS;-7.973;-1.9024;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20937;Q13451;FKBP5;0;Neurology;B04406;P1;PASS;-4.6814;-1.73;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30361;Q96AG4;LRRC59;0.9205;Cardiometabolic_II;B13805;P1;PASS;-5.4977;-5.6223;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30533;Q9Y2X7;GIT1;0;Inflammation_II;B13803;P1;PASS;-7.2549;-4.7945;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20254;Q14767;LTBP2;0;Cardiometabolic;B04405;P1;PASS;-7.0488;-1.8562;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30148;Q16774;GUK1;0.2386;Cardiometabolic_II;B13805;P1;PASS;-3.0254;-2.7733;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20744;O43598;DNPH1;0;Inflammation;B04403;P1;PASS;-5.1467;-2.0896;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20826;P20936;RASA1;0.0909;Neurology;B04406;P1;PASS;-4.078;-3.5905;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20510;Q9Y5A7;NUB1;0;Inflammation;B04403;P1;PASS;-5.1633;-2.6754;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20129;P01222;TSHB;0;Cardiometabolic;B04405;P1;PASS;-6.3362;-0.2814;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30367;P13796;LCP1;0;Cardiometabolic_II;B13805;P1;PASS;-9.0363;-4.788;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20882;Q9UPY6;WASF3;0.2614;Neurology;B04406;P1;WARN;-7.389;-7.8044;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20911;P05231;IL6;0;Neurology;B04406;P1;PASS;-5.7567;-2.1714;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21404;P30041;PRDX6;0;Oncology;B04404;P1;PASS;-6.6325;-5.3626;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30372;P30046;DDT;0;Cardiometabolic_II;B13805;P1;WARN;-6.5707;-5.1149;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31042;Q8IWQ3;BRSK2;0.8864;Neurology_II;B13806;P1;PASS;-5.1708;-4.8105;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20523;P80098;CCL7;0;Inflammation;B04403;P1;PASS;-4.976;-2.0868;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20260;P48960;ADGRE5;0;Cardiometabolic;B04405;P1;PASS;-7.8263;-1.909;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30888;Q2M3V2;SOWAHA;0.8523;Neurology_II;B13806;P1;PASS;-1.5701;-2.2288;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31395;O60941;DTNB;0;Oncology_II;B13804;P1;PASS;-8.829;-5.667;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20529;Q6DN72;FCRL6;0;Inflammation;B04403;P1;PASS;-5.5445;-1.0623;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31197;Q9H741;SPRING1;0.1705;Oncology_II;B13804;P1;PASS;-4.3948;-3.6578;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31425;Q92783;STAM;0.2955;Oncology_II;B13804;P1;WARN;-6.7795;-6.4721;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20195;P35754;GLRX;0;Cardiometabolic;B04405;P1;PASS;-5.1511;-2.025;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30582;Q9H7Y0;DIPK2B;0;Inflammation_II;B13803;P1;PASS;-4.7562;-0.5892;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31259;O95696;BRD1;0.4205;Oncology_II;B13804;P1;PASS;-2.5395;-2.5232;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20481;Q8TAD2;IL17D;0;Inflammation;B04403;P1;PASS;-4.8514;-1.3719;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20213;Q99523;SORT1;0;Cardiometabolic;B04405;P1;PASS;-7.7844;-0.7724;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30325;O75154;RAB11FIP3;0;Cardiometabolic_II;B13805;P1;PASS;-8.0711;-6.2973;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31299;P78358;CTAG1A_CTAG1B;0.5341;Oncology_II;B13804;P1;PASS;-5.5869;-6.0087;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20190;Q9Y286;SIGLEC7;0;Cardiometabolic;B04405;P1;PASS;-6.667;-1.2141;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30130;Q15018;ABRAXAS2;0.8864;Cardiometabolic_II;B13805;P1;PASS;-3.9203;-4.3837;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30117;Q6NZY4;ZCCHC8;0.0568;Cardiometabolic_II;B13805;P1;PASS;-5.18;-4.7409;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20468;Q04759;PRKCQ;0.1136;Inflammation;B04403;P1;PASS;-4.4231;-3.987;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20625;Q04637;EIF4G1;0;Inflammation;B04403;P1;PASS;-5.6758;-4.1741;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30587;P20908;COL5A1;0;Inflammation_II;B13803;P1;PASS;-3.185;-0.4706;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30503;Q14511;NEDD9;0;Inflammation_II;B13803;P1;PASS;-4.5813;-3.8047;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20631;P10145;CXCL8;0;Inflammation;B04403;P1;PASS;-9.1248;-1.9979;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31044;Q9BUP0;EFHD1;0;Neurology_II;B13806;P1;PASS;-7.6035;-4.5899;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20147;P40189;IL6ST;0;Cardiometabolic;B04405;P1;PASS;-5.9096;-0.7684;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31320;Q495A1;TIGIT;0.0341;Oncology_II;B13804;P1;PASS;-4.588;-4.1198;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20806;Q9UKV5;AMFR;0.5341;Neurology;B04406;P1;PASS;-4.3081;-4.4374;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30125;O15305;PMM2;0.2386;Cardiometabolic_II;B13805;P1;PASS;-3.314;-3.3377;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31055;Q9BZE9;ASPSCR1;0;Neurology_II;B13806;P1;PASS;-9.6322;-8.2364;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21065;Q96B86;RGMA;0;Neurology;B04406;P1;PASS;-8.7857;-2.3304;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20735;O00300;TNFRSF11B;0;Inflammation;B04403;P1;PASS;-7.1148;0.6035;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31453;O43805;SSNA1;0.3409;Oncology_II;B13804;P1;PASS;-3.8245;-4.5017;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20068;P31483;TIA1;0.5795;Cardiometabolic;B04405;P1;PASS;-2.6416;-2.8002;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21183;Q9NRA1;PDGFC;0;Oncology;B04404;P1;PASS;-3.1219;-2.6015;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30795;Q9UKW4;VAV3;0;Neurology_II;B13806;P1;PASS;-2.8223;-1.4515;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31514;Q96BQ1;FAM3D;0;Oncology_II;B13804;P1;PASS;-8.2163;-2.4223;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20534;O75475;PSIP1;0;Inflammation;B04403;P1;PASS;-4.9061;-2.5457;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20373;Q99969;RARRES2;0;Cardiometabolic;B04405;P1;PASS;-7.3621;-1.8367;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20385;P08887;IL6R;0;Cardiometabolic;B04405;P1;PASS;-7.4514;0.2647;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21284;Q86WD7;SERPINA9;0;Oncology;B04404;P1;WARN;-4.7387;0.6974;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20607;Q9UIB8;CD84;0;Inflammation;B04403;P1;PASS;-7.7851;-0.6359;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30906;Q9HBL6;LRTM1;0.6818;Neurology_II;B13806;P1;PASS;-3.5549;-3.4676;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31301;Q8TEW0;PARD3;0;Oncology_II;B13804;P1;PASS;-5.5598;-3.7343;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21252;Q9UHF1;EGFL7;0;Oncology;B04404;P1;PASS;-6.5444;-2.1243;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21115;Q9UKK9;NUDT5;0;Neurology;B04406;P1;PASS;-4.2549;-1.803;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20952;P40222;TXLNA;0;Neurology;B04406;P1;PASS;-4.9543;-2.4616;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31347;Q8WWF5;ZNRF4;0;Oncology_II;B13804;P1;PASS;-6.9527;-6.0202;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20852;Q15043;SLC39A14;0;Neurology;B04406;P1;PASS;-5.4812;-2.6371;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20866;Q9H3R2;MUC13;0;Neurology;B04406;P1;PASS;-5.1312;-3.5316;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21008;P22223;CDH3;0;Neurology;B04406;P1;PASS;-6.2899;-3.8085;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20112;Q9UKP3;ITGB1BP2;0;Cardiometabolic;B04405;P1;PASS;-5.9608;-3.7511;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20736;Q9UJA9;ENPP5;0;Inflammation;B04403;P1;PASS;-5.5784;1.0996;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31008;O95467;GNAS;0;Neurology_II;B13806;P1;PASS;-5.7633;-4.7607;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21290;Q7L5N7;LPCAT2;0.375;Oncology;B04404;P1;PASS;-1.9301;-1.8107;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30326;Q6NUS6;TCTN3;0;Cardiometabolic_II;B13805;P1;PASS;-7.6681;-3.5696;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30315;Q9BXN1;ASPN;0.2955;Cardiometabolic_II;B13805;P1;PASS;-5.2485;-4.8404;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20958;Q6P1N0;CC2D1A;0;Neurology;B04406;P1;PASS;-5.1471;-1.762;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30477;Q9NY59;SMPD3;0.4091;Inflammation_II;B13803;P1;PASS;-3.572;-3.7908;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20190;Q9Y286;SIGLEC7;0;Cardiometabolic;B04405;P1;PASS;-6.667;-1.1835;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20152;Q99674;CGREF1;0;Cardiometabolic;B04405;P1;PASS;-6.2293;-1.5605;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21357;P15514;AREG;0;Oncology;B04404;P1;PASS;-5.9132;-1.5162;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30132;Q16836;HADH;0;Cardiometabolic_II;B13805;P1;PASS;-4.2861;-3.2102;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21233;Q06787;FMR1;0.2386;Oncology;B04404;P1;WARN;-5.6136;-3.5764;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21289;Q6UXD5;SEZ6L2;0;Oncology;B04404;P1;PASS;-4.8689;-0.8944;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20912;Q92932;PTPRN2;0;Neurology;B04406;P1;PASS;-5.2265;0.1359;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20934;Q9UBT3;DKK4;0;Neurology;B04406;P1;PASS;-6.1261;-1.532;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21169;Q6PGN9;PSRC1;0.1023;Oncology;B04404;P1;PASS;-3.5234;-3.2966;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20675;Q07325;CXCL9;0;Inflammation;B04403;P1;PASS;-4.9648;-1.0874;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20488;P01583;IL1A;0.6818;Inflammation;B04403;P1;PASS;-2.493;-1.6137;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20428;O95760;IL33;0.0795;Inflammation;B04403;P1;PASS;-4.8427;-3.2719;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20437;Q9NP70;AMBN;0;Inflammation;B04403;P1;PASS;-4.7482;-2.6203;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31438;Q9H8Y8;GORASP2;0.9659;Oncology_II;B13804;P1;PASS;-3.2063;-3.6955;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20815;P53582;METAP1;0.8977;Neurology;B04406;P1;PASS;-2.9111;-2.6119;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31106;Q6QNY0;BLOC1S3;0.8295;Neurology_II;B13806;P1;PASS;-4.0168;-4.419;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31104;Q5F1R6;DNAJC21;0.9091;Neurology_II;B13806;P1;PASS;-4.9494;-5.1011;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20612;O15455;TLR3;0;Inflammation;B04403;P1;PASS;-5.9798;-0.4567;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30346;Q6PI73;LILRA6;0;Cardiometabolic_II;B13805;P1;PASS;-5.4076;-2.6883;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30080;P33121;ACSL1;0.5568;Cardiometabolic_II;B13805;P1;PASS;-1.1352;-1.1513;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31473;Q6NUJ1;PSAPL1;0;Oncology_II;B13804;P1;PASS;-6.7385;-2.3676;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20251;Q99988;GDF15;0;Cardiometabolic;B04405;P1;PASS;-4.8483;-1.4088;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20392;P80188;LCN2;0;Cardiometabolic;B04405;P1;PASS;-3.7859;0.4715;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30675;P16442;ABO;0;Inflammation_II;B13803;P1;WARN;-6.1638;-5.3404;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20331;P23284;PPIB;0;Cardiometabolic;B04405;P1;PASS;-6.6081;-5.0459;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21193;Q6BAA4;FCRLB;0;Oncology;B04404;P1;PASS;-4.6095;-1.788;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20813;Q6PIL6;KCNIP4;0.0455;Neurology;B04406;P1;PASS;-4.9868;-4.3344;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31076;Q8IWY9;CDAN1;0.7841;Neurology_II;B13806;P1;WARN;-2.1046;-3.7476;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21236;Q9BUE0;MED18;0.125;Oncology;B04404;P1;PASS;-3.8288;-3.7742;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30715;P54108;CRISP3;0;Inflammation_II;B13803;P1;PASS;-1.9706;0.5219;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20992;Q9BYC5;FUT8;0;Neurology;B04406;P1;PASS;-3.2194;0.6904;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20755;Q9UHX3;ADGRE2;0;Inflammation;B04403;P1;PASS;-7.2767;-0.3024;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20894;Q9NQ88;TIGAR;0.1705;Neurology;B04406;P1;PASS;-5.2757;-4.0571;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30193;P32241;VIPR1;0.9886;Cardiometabolic_II;B13805;P1;PASS;0.9035;-2.1485;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31190;Q13017;ARHGAP5;0.2841;Oncology_II;B13804;P1;PASS;-3.8768;-3.4733;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21281;Q5VIR6;VPS53;0;Oncology;B04404;P1;PASS;-2.333;-1.5238;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31222;P29353;SHC1;0.0909;Oncology_II;B13804;P1;PASS;-6.1289;-5.0561;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30366;Q9Y303;AMDHD2;0.75;Cardiometabolic_II;B13805;P1;PASS;-4.9455;-5.835;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31338;Q6P995;FAM171B;0.6591;Oncology_II;B13804;P1;PASS;-4.1472;-3.5476;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20504;O43736;ITM2A;0;Inflammation;B04403;P1;PASS;-2.1616;-0.5786;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20577;Q9NWZ3;IRAK4;0;Inflammation;B04403;P1;PASS;-6.5267;-4.4195;Plate control;PASS;CONTROL;0.0.0
